subject,onset,-4,-2,0,2,4,6,8,10,12,conditions,wrongness,run
YOU_FIRSTTHIRD_02,276,0.63893,0.21376,-0.33074,0.051246,-0.012281,0.10776,0.15578,0.33924,0.27799,1st_P_harm,2,6
YOU_FIRSTTHIRD_02,285,0.37972,0.1076,0.16097,-0.38684,-0.59124,-0.23075,0.049031,0.24751,0.24295,1st_P_harm,1,6
YOU_FIRSTTHIRD_02,293,0.24295,-0.35428,-0.55911,-0.13894,-0.021291,-0.007197,0.26266,0.56371,0.82571,1st_P_harm,1,6
YOU_FIRSTTHIRD_02,301,0.82571,0.82926,0.2029,0.027649,-0.054857,0.2475,0.38158,0.48734,-0.1469,1st_P_harm,1,6
YOU_FIRSTTHIRD_02,318,0.75777,0.2658,-0.17929,-0.49616,-0.22409,0.23809,0.034285,-0.3916,-0.51255,1st_P_harm,2,6
YOU_FIRSTTHIRD_02,325,-0.3916,-0.51255,-0.42064,-0.51364,-0.49107,0.14513,0.33482,0.26108,0.38911,1st_P_harm,2,6
YOU_FIRSTTHIRD_02,334,0.40666,-0.0023382,-0.24648,0.040098,-0.18007,0.29194,0.11283,0.37593,0.79907,1st_P_harm,1,6
YOU_FIRSTTHIRD_02,359,0.094294,0.24096,0.57542,0.39872,-0.36465,-0.29532,-0.017127,0.25013,0.012304,1st_P_harm,2,6
YOU_FIRSTTHIRD_02,366,0.25013,0.012304,-0.46915,-0.72353,-0.5542,0.09662,0.29129,0.3534,-0.098157,1st_P_harm,1,6
YOU_FIRSTTHIRD_02,389,0.11311,-0.49985,-0.82802,0.20763,0.049306,-0.19299,0.63074,0.63842,0.80183,1st_P_harm,1,6
YOU_FIRSTTHIRD_02,3,0.14305,0.093906,-0.029903,-0.052309,-0.43925,-0.044837,0.057266,0.24517,-0.43383,1st_P_neut,1,5
YOU_FIRSTTHIRD_02,22,-0.52937,-0.30752,0.050393,-0.54146,-0.40244,-0.57262,0.003363,-0.36332,-0.66125,1st_P_neut,1,5
YOU_FIRSTTHIRD_02,46,0.61541,0.31358,-0.1967,-0.54717,-0.48584,-0.32472,0.32107,0.35339,-0.47307,1st_P_neut,1,5
YOU_FIRSTTHIRD_02,60,0.18942,0.22488,-0.17904,-0.23566,-0.018721,0.046959,-0.069848,0.19415,0.13166,1st_P_neut,2,5
YOU_FIRSTTHIRD_02,83,-0.13751,-0.57383,-0.96606,-0.62962,-0.73821,-0.51461,-0.088081,0.29009,-0.02617,1st_P_neut,1,5
YOU_FIRSTTHIRD_02,93,0.26748,0.16446,0.028247,-0.51399,0.03427,-0.20069,0.048655,-0.015,0.099219,1st_P_neut,1,5
YOU_FIRSTTHIRD_02,101,0.099219,0.63556,0.13654,-0.59011,-0.33631,-0.033707,0.2425,0.1878,-0.12103,1st_P_neut,1,5
YOU_FIRSTTHIRD_02,125,0.21263,0.2375,-0.45862,-0.80539,-0.70484,-0.10952,0.021727,0.14616,0.022517,1st_P_neut,1,5
YOU_FIRSTTHIRD_02,141,0.25895,-0.19243,-0.76141,-0.3588,0.080344,-0.012378,0.49455,0.022663,-0.11987,1st_P_neut,1,5
YOU_FIRSTTHIRD_02,157,-0.16426,-0.22518,-0.49334,-0.66595,-0.47591,0.055263,-0.023444,0.12414,-0.032415,1st_P_neut,1,5
YOU_FIRSTTHIRD_02,166,-0.38525,-0.14092,-0.40658,-0.83207,-0.49481,-0.19113,-0.027606,0.50083,0.53085,1st_P_neut,1,5
YOU_FIRSTTHIRD_02,191,-0.66299,-0.39424,-0.56884,-0.80755,-0.14655,0.019064,0.088351,-0.33619,-0.29132,1st_P_neut,1,5
YOU_FIRSTTHIRD_02,202,-0.040152,-0.98575,-0.74698,-0.042045,-0.18641,0.19943,0.48269,0.40678,0.042785,1st_P_neut,1,6
YOU_FIRSTTHIRD_02,209,0.40678,0.042785,-0.20252,-0.40706,-0.35779,-0.084125,0.20079,0.75606,0.83541,1st_P_neut,1,6
YOU_FIRSTTHIRD_02,219,-0.14861,0.099094,-0.11539,0.055122,0.056673,0.59321,0.96204,0.41377,-0.69165,1st_P_neut,1,6
YOU_FIRSTTHIRD_02,227,-0.69165,-0.34789,0.12837,0.072463,-0.27137,0.25206,0.90686,0.88501,0.30046,1st_P_neut,1,6
YOU_FIRSTTHIRD_02,235,0.30046,0.02374,-0.51323,-0.58731,-0.22846,0.10597,0.50692,0.37756,0.18003,1st_P_neut,1,6
YOU_FIRSTTHIRD_02,252,-0.44169,-0.42024,-0.47606,-0.77485,-0.53117,-0.042515,0.40588,0.90892,0.29403,1st_P_neut,1,6
YOU_FIRSTTHIRD_02,260,0.29403,-0.16737,-0.19825,-0.65172,-0.21147,0.12824,-0.05745,0.019581,0.22077,1st_P_neut,1,6
